,business_id,name,stars,review_count,attributes,categories,hours,LocationKey,X1
7871,68-EAQsRYuXYDzovGAOfFQ,Christie Pits Park,4.5,22,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Parks, Active Life",,7872,7871.0
8015,mEHvb1m8_g4zGneN-RWVrA,Etienne Brulé Park,4.5,8,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Active Life, Parks",,8016,8015.0
8856,rOS2NDgj1y1gvXOKmFeKLA,G Ross Lord Park,4.5,3,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Active Life, Dog Parks, Parks",,8857,8856.0
8931,GlmOExnqUfxMjZGt5gZ4Hw,Sherwood Park,4.5,3,{'GoodForKids': 'True'},"Active Life, Parks",,8932,8931.0
9111,BX9Q8pT8bLsqWWZIJoBs9g,Riverdale Park West,5.0,9,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'GoodForKids': 'True', 'BikeParking': 'True'}","Dog Parks, Swimming Pools, Parks, Pets, Active Life",,9112,9111.0
9227,UyuZdykv7XBAUftkNC6YiQ,Cedarvale Ravine,4.5,3,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Active Life, Parks",,9228,9227.0
9357,qEiJ_phSqBM9FSRMeI9AYA,Wilket Creek Park,4.5,3,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Parks, Active Life",,9358,9357.0
9387,tMPXd7cu7u0418i9ZALSzQ,Rennie Park,4.0,4,{'GoodForKids': 'True'},"Active Life, Parks",,9388,9387.0
9508,JSAX88TyHDadmnClHSyJdw,L'Amoreaux Dog Park,4.0,5,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True'}","Dog Parks, Active Life, Pets, Parks","{'Monday': '7:0-23:0', 'Tuesday': '7:0-23:0', 'Wednesday': '7:0-23:0', 'Thursday': '7:0-23:0', 'Friday': '7:0-23:0', 'Saturday': '7:0-23:0', 'Sunday': '7:0-23:0'}",9509,9508.0
9871,39HWd2HsLZ-iJVM7pMMYeg,Beltline Trail,4.5,7,{'GoodForKids': 'True'},"Active Life, Parks",,9872,9871.0
10552,RRi2Vx9GS9B2yD98JEQgQw,Monarch Park,2.5,3,{'GoodForKids': 'True'},"Parks, Dog Parks, Active Life",,10553,10552.0
10588,A1Ep3RYtCLFeEOg2pAiUCw,Taylor Creek Park,4.5,8,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Parks, Local Flavor, Active Life",,10589,10588.0
10603,09x-yFf6sNslMLfz9BI20A,Alexandra Park,3.5,11,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Playgrounds, Dog Parks, Skate Parks, Active Life, Parks",,10604,10603.0
10941,vvho7_ZaJ0X6hf9aino2CA,Bluffer's Park,4.0,16,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'GoodForKids': 'True'}","Beaches, Active Life, Parks",,10942,10941.0
11031,37YLTHLnqegSB49N06IHog,Cherry Beach Clarke Beach Park,3.5,30,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True'}","Dog Parks, Parks, Beaches, Active Life",,11032,11031.0
11156,ZpJuyFaGhZ7CnK7lXzULlA,Sir Casimir Gzowski Park,4.0,3,,"Active Life, Parks",,11157,11156.0
11184,80sQO48UKXo9IbYnyoUO7Q,St. James' Park,4.0,10,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Parks, Active Life",,11185,11184.0
11283,7grygtJ69AJ_J7mM3bI0OA,Riverdale Park East,4.5,9,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Parks, Active Life, Tennis",,11284,11283.0
11530,-Za5mjo-CYYUMsd1r8GC7Q,Ashbridges Bay Park,3.5,30,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True'}","Active Life, Parks, Beaches",,11531,11530.0
11586,1SrUvCiYAiZlTKXAUvQn6w,Cedarvale Park,5.0,3,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'BikeParking': 'True'}","Parks, Active Life",,11587,11586.0
11862,BhWcL_usBHI3ihoQn9HB8A,Coronation Park,4.5,3,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'GoodForKids': 'True'}","Parks, Active Life",,11863,11862.0
11963,TRwFcUyOFA0USoQNpXWmGw,Tommy Thompson Park,4.5,7,"{'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True'}","Active Life, Parks","{'Saturday': '9:0-16:30', 'Sunday': '9:0-16:30'}",11964,11963.0
12178,CBX258VxIU6HkIsyLyYANA,Ward's Island,4.5,34,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Active Life, Parks, Beaches",,12179,12178.0
12207,0NMiK6IMU0P72XID62ZRJA,Sunnyside Park,3.5,11,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True'}","Active Life, Parks",,12208,12207.0
12320,xB1Gr3ocXLVDpGxi2xBdNA,CAMH,3.0,7,"{'ByAppointmentOnly': 'True', 'GoodForKids': 'True'}","Parks, Active Life, Health & Medical, Counseling & Mental Health",,12321,12320.0
12325,HB6brhDEQKVFwsZTXIg9-A,Martin Goodman Trail,4.0,13,"{'GoodForKids': 'True', 'BikeParking': 'True', 'DogsAllowed': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Local Flavor, Active Life, Parks",,12326,12325.0
12387,CZdfFn8YZiCOUF0rmiUEKw,Queen's Park,4.0,25,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Active Life, Parks",,12388,12387.0
12800,S2hClXWlpLa14XY3GnAbmA,Sherbourne Common,4.0,10,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}","Playgrounds, Active Life, Parks",,12801,12800.0
12889,7jQxs8gGX7tJjYj8eoBkfA,Canoe Landing Park,3.5,9,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'GoodForKids': 'True'}","Parks, Active Life",,12890,12889.0
12995,VEMX1R4xtF5AXwKlNMyDVg,High Park,4.5,135,"{'GoodForKids': 'True', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'DogsAllowed': 'True'}","Parks, Active Life, Zoos, Playgrounds",,12996,12995.0
13106,mLnJVDl2Jx-z_1id3bqh8Q,Woofs Upon A Walk,5.0,5,,"Pet Sitting, Pet Boarding, Pet Training, Pet Stores, Pets, Dog Walkers, Active Life, Pet Services, Parks, Dog Parks","{'Monday': '8:30-16:45', 'Tuesday': '8:30-16:45', 'Wednesday': '8:30-16:45', 'Thursday': '8:30-16:45', 'Friday': '8:30-16:45'}",13107,13106.0
13338,35oDgfjcKnFhperOcKrShA,Humber Bay Shores Park,5.0,4,"{'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'GoodForKids': 'True'}","Parks, Active Life, Dog Parks, Beaches",,13339,13338.0
13800,BTTnwjSTi-YCfwXobrFDBQ,Sherwood Park,4.5,12,{'GoodForKids': 'True'},"Parks, Active Life",,13801,13800.0
13863,0u1Jd80kgwOacJ7BBcCksg,Commerce Court,3.5,3,"{'GoodForKids': 'True', 'ByAppointmentOnly': 'False'}","Real Estate Services, Real Estate, Home Services, Parks, Active Life",,13864,13863.0
13893,JODWOfeEICAlO2T_VAEbSg,Earlscourt Park,3.5,7,"{'DogsAllowed': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'BikeParking': 'True'}","Dog Parks, Parks, Active Life","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",13894,13893.0
13950,sRdtwkUUfLqwmRGoMtguvQ,Nathan Phillips Square,4.0,76,"{'GoodForKids': 'True', 'ByAppointmentOnly': 'False'}","Parks, Landmarks & Historical Buildings, Public Services & Government, Active Life",,13951,13950.0
14240,DbFsV4LRitxjM-zzJB0_-Q,Dovercourt Park,4.0,6,{'GoodForKids': 'True'},"Parks, Active Life",,14241,14240.0
14888,QX96lCxUkkXTZiEEO9Sv5Q,St. Andrew's Playground,3.0,7,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Playgrounds, Parks, Active Life, Dog Parks",,14889,14888.0
15425,AI7OupGT468boUjdGHfecg,Grenadier Pond,4.0,5,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Active Life, Parks",,15426,15425.0
15696,ghM2rS76p5v4Qs66P52PIQ,Kew Gardens,4.0,17,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'GoodForKids': 'True'}","Parks, Active Life","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}",15697,15696.0
15893,vL0pRgpfVFWs3njOuqPBmA,Bestview Park,3.5,3,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Active Life, Parks",,15894,15893.0
16237,xpdEBlThkJ8D_sOcN57n7g,Hanlan's Point,4.0,20,"{'GoodForKids': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Parks, Active Life, Beaches",,16238,16237.0
16748,Q-BK0g6KZK2cANslUrjrrg,Stanley Park,4.0,17,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Parks, Active Life, Dog Parks",,16749,16748.0
16751,O0VzEjT9osf_NRPmMzX9eA,Nordheimer Ravine,4.5,5,{'GoodForKids': 'True'},"Active Life, Parks, Hiking",,16752,16751.0
17033,xKutf_s_dw35Y-3-ZAPRbQ,Rosetta McClain Gardens,5.0,5,{'GoodForKids': 'True'},"Parks, Active Life",,17034,17033.0
17182,QfmADfKPJNVjN6vqzx9LPQ,Sorauren Park,3.5,4,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Parks, Active Life",,17183,17182.0
17286,7cCPL6NJPrOUlxjabpmZjQ,Riverdale Farm,4.5,39,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Zoos, Active Life, Parks","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}",17287,17286.0
17467,EPmpO5EXHedPmAP8aro51Q,Asquith Green Parkette,2.5,3,{'GoodForKids': 'True'},"Active Life, Parks, Local Flavor",,17468,17467.0
17481,UpOI4SvSNoeOrW6rw_IIeA,Gerrard - Carlaw Parkette,4.0,4,{'GoodForKids': 'False'},"Active Life, Parks, Dog Parks",,17482,17481.0
17662,0cG8w7jxNAnkX8duZbCEog,Orphan's Greenspace - Dog Park,4.0,4,{'GoodForKids': 'False'},"Dog Parks, Parks, Pets, Active Life",,17663,17662.0
17961,cSNUKWsKZQlEy2FUXbHLsg,HTO Park,4.0,13,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Parks, Active Life",,17962,17961.0
18099,QyQ8jldZwSr1tniW0nQbyQ,Bickford Park,3.5,7,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Playgrounds, Parks, Active Life, Dog Parks",,18100,18099.0
18158,Szn_fD1ezFeSRao3bRx7Ow,Leslie Street Spit Trail,4.5,24,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}","Parks, Active Life","{'Saturday': '9:0-16:30', 'Sunday': '9:0-16:30'}",18159,18158.0
18308,Drn62oroI35wMeg1aMWlCw,Woodbine Park,4.0,9,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Active Life, Parks",,18309,18308.0
