,business_id,name,stars,review_count,attributes,categories,hours,LocationKey,X1
72,KpFByw39LPa8P0KHgssqsg,Massage Health Care,5.0,4,"{'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'True'}","Massage, Beauty & Spas, Reflexology, Massage Therapy, Health & Medical","{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '10:0-18:0', 'Sunday': '10:0-18:0'}",73,72.0
93,yVPQ5b7BKS8Ry6lugjW-dw,Weston Hair Spot,2.5,3,,"Beauty & Spas, Hair Salons",,94,93.0
106,DJnDtWvKX-_f1VMzbI6ZaA,Mcmanus and Campbell,4.5,11,"{'ByAppointmentOnly': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True', 'WheelchairAccessible': 'True', 'HairSpecializesIn': ""{'perms': False, 'coloring': True, 'extensions': False, 'curly': True, 'kids': False}""}","Nail Salons, Beauty & Spas, Hair Salons","{'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '9:0-17:0', 'Sunday': '11:0-17:0'}",107,106.0
114,vkevrWpvJGrpvdNQnmgB4Q,Salon Daniel,1.5,7,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'True'}",Beauty & Spas,,115,114.0
128,cXI5s70pO1t7W_nrWh3QLw,Platinum Health & Wellness,4.5,21,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'ByAppointmentOnly': 'True'}","Massage, Health & Medical, Naturopathic/Holistic, Doctors, Nutritionists, Chiropractors, Beauty & Spas, Physical Therapy","{'Monday': '10:30-19:30', 'Tuesday': '10:0-19:30', 'Wednesday': '10:0-19:30', 'Thursday': '9:0-19:30', 'Friday': '9:0-19:30', 'Saturday': '10:0-16:0'}",129,128.0
144,e2qAW6jWsZZCM85pJG181w,The Yonge & St Clair Tanning Spa,4.5,3,"{'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2'}","Beauty & Spas, Tanning","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-20:0', 'Sunday': '12:0-18:0'}",145,144.0
146,2Ya88W4pb3dVxllw_Bn6uQ,Solo Bace,5.0,3,,"Beauty & Spas, Hair Salons",,147,146.0
167,6M9Q_BE4R-A-BhsAjNX98w,Michelle Le Nails,3.0,12,"{'ByAppointmentOnly': 'False', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Eyelash Service, Beauty & Spas, Nail Salons","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-19:0', 'Sunday': '11:0-18:0'}",168,167.0
168,fm8Ekv7HSwxXQaco-wYkLg,Peony Beauty Salon,3.0,8,"{'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True'}","Nail Salons, Beauty & Spas","{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-20:0'}",169,168.0
180,E-F2IXk3LRTwDk2hGFfKIQ,Mira's Nail Salon,2.0,52,"{'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True'}","Nail Salons, Beauty & Spas","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0', 'Sunday': '10:0-20:0'}",181,180.0
181,cUMbOD5ucJBPJtk8A8d6IQ,Provocateur Images,4.5,3,"{'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Arts & Entertainment, Cabaret, Boudoir Photography, Session Photography, Professional Services, Video/Film Production, Photographers, Photography Stores & Services, Shopping, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-20:0'}",182,181.0
186,PJXlSQDWXxXDecIKjwl7iA,Rainbow Cinema,3.5,3,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment","{'Monday': '12:15-22:0', 'Tuesday': '12:15-22:0', 'Wednesday': '12:15-22:0', 'Thursday': '12:15-22:0', 'Friday': '12:15-22:0', 'Saturday': '12:15-22:0', 'Sunday': '12:15-22:0'}",187,186.0
202,uDsSlyB8x6jSfwSqglocfA,Nail Attraction,4.0,7,"{'BikeParking': 'True', 'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2'}","Nail Salons, Threading Services, Waxing, Hair Removal, Beauty & Spas","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-19:0', 'Sunday': '10:0-18:0'}",203,202.0
203,dLxT3-EwXkrI9AXoW6HCGg,Ooh La Lash,3.0,12,"{'ByAppointmentOnly': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2'}","Beauty & Spas, Eyelash Service, Eyebrow Services, Laser Hair Removal, Hair Removal","{'Tuesday': '11:0-17:0', 'Wednesday': '11:0-17:0', 'Thursday': '11:0-17:0', 'Friday': '11:0-17:0', 'Saturday': '11:0-17:0'}",204,203.0
206,cw38enjbbPUbKwSQj8clWQ,M Lovely Nail,3.5,56,"{'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False'}","Beauty & Spas, Nail Salons","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-19:0'}",207,206.0
229,RshIJ_Key2KyI_syRdqvpw,Enoch Turner Schoolhouse,3.5,3,{'GoodForKids': 'True'},"Venues & Event Spaces, Event Planning & Services, Wedding Planning, Arts & Entertainment, Museums","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}",230,229.0
247,4xVbhdT8KbMTjGMmAaeiaQ,Lina Tran Studio,5.0,7,"{'HairSpecializesIn': ""{'perms': False, 'coloring': True, 'extensions': False, 'curly': False, 'kids': False}"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'WheelchairAccessible': 'False', 'ByAppointmentOnly': 'True', 'BikeParking': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'""}","Beauty & Spas, Hair Extensions, Tattoo, Hair Salons, Blow Dry/Out Services, Hair Removal, Threading Services, Eyebrow Services, Permanent Makeup","{'Monday': '0:0-0:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-15:0'}",248,247.0
250,AHirAAxFKv1e1FccqNwG1Q,Cowlick,4.5,7,"{'HairSpecializesIn': ""{'perms': False, 'coloring': False, 'extensions': False, 'curly': False, 'kids': False}"", 'BikeParking': 'True', 'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True', 'ByAppointmentOnly': 'False'}","Specialty Schools, Cosmetology Schools, Education, Blow Dry/Out Services, Hair Salons, Beauty & Spas","{'Monday': '8:0-19:0', 'Tuesday': '8:0-20:0', 'Wednesday': '8:0-20:0', 'Thursday': '8:0-20:0', 'Friday': '8:0-20:0', 'Saturday': '8:0-18:0', 'Sunday': '8:0-16:0'}",251,250.0
251,Ldo9hJuNkY30a_qeuJ4gsQ,Studio Fontana,3.5,3,"{'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'False'}","Beauty & Spas, Hair Salons",,252,251.0
254,PkFUmsDwz05H-PgQFvyl3Q,Toronto Symphony Orchestra,4.5,24,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment, Performing Arts","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}",255,254.0
259,RF4SJ2UNmTWsfBE5sc7TYQ,Melonhead Children's Hair Care,2.5,19,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'False', 'ByAppointmentOnly': 'False'}","Hair Salons, Beauty & Spas","{'Monday': '10:0-18:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '9:0-18:0', 'Sunday': '10:0-17:0'}",260,259.0
270,s-3UrY9VcOxIhvw7CM84pQ,Hair District,4.0,78,"{'ByAppointmentOnly': 'False', 'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Hair Salons, Makeup Artists, Beauty & Spas","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-21:0'}",271,270.0
271,S6zJV-41wHio080GHJf2AQ,Coliseum Scarborough Cinema,3.5,11,{'GoodForKids': 'True'},"Cinema, Arts & Entertainment",,272,271.0
275,xr02EylrumEHr_-CdFZEEw,Hair Classic,3.0,8,"{'ByAppointmentOnly': 'False', 'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Hair Salons, Beauty & Spas",,276,275.0
321,VRTGuPtIyjqrO_YvTQG20w,Joanne Co Beauty Institute,4.5,3,"{'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'False'}","Waxing, Nail Salons, Beauty & Spas, Hair Salons, Hair Removal","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0'}",322,321.0
324,a33EZxwo_A1I5rmczI9b-Q,Golden Ying Spa,3.5,3,"{'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'paid'""}","Beauty & Spas, Massage, Day Spas","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}",325,324.0
327,N11UFyQXU0k4AvaijCe1-A,Topcuts,3.0,8,,"Beauty & Spas, Hair Salons",,328,327.0
331,cNGVnoA2r-sozn6n9jIuvw,Shoppers Drug Mart,3.5,7,"{'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Shopping, Cosmetics & Beauty Supply, Drugstores, Beauty & Spas","{'Monday': '8:0-21:0', 'Tuesday': '8:0-21:0', 'Wednesday': '8:0-21:0', 'Thursday': '8:0-21:0', 'Friday': '8:0-21:0', 'Saturday': '8:0-19:0', 'Sunday': '8:0-19:0'}",332,331.0
353,VTZ4Ef8aiRWPoBz5BoR8Kg,University of Toronto Athletic Centre,4.0,12,"{'GoodForKids': 'True', 'BikeParking': 'True', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Stadiums & Arenas, Arts & Entertainment, Gyms, Active Life, Fitness & Instruction",,354,353.0
356,vcCaAcfV2wT9QOOL31jnmw,Fluid Hair Studio and Spa,3.5,22,"{'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'True', 'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Day Spas, Hair Salons, Beauty & Spas","{'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '10:0-19:0'}",357,356.0
358,O9g75M-4R_-Sh1q9aciYfg,Massage Addict - The Beach,4.0,15,"{'BikeParking': 'True', 'ByAppointmentOnly': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'WiFi': ""u'no'""}","Reflexology, Health & Medical, Beauty & Spas, Medical Spas, Massage, Massage Therapy","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-17:0', 'Sunday': '10:0-16:0'}",359,358.0
368,8uYn7eVXnvc3ZeuwQWrNNw,Lush,4.0,21,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2'}","Beauty & Spas, Cosmetics & Beauty Supply, Shopping","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '9:30-19:0', 'Sunday': '12:0-18:0'}",369,368.0
371,UIHPVtGKBa98Ki_lOLotiw,Caudalie,4.0,4,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Skin Care, Day Spas, Cosmetics & Beauty Supply, Shopping, Beauty & Spas","{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '9:30-21:0', 'Sunday': '11:0-18:0'}",372,371.0
377,1OvstkNuF7jk-9Mn9K7i7g,Tonyc Salon & Spa,2.0,13,"{'ByAppointmentOnly': 'True', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}","Hair Salons, Nail Salons, Beauty & Spas, Hair Removal, Laser Hair Removal","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '11:0-19:0'}",378,377.0
385,9666LeMEY-xrjlwr4Lx8cA,Suiki Health Beauty Centre,3.5,21,"{'ByAppointmentOnly': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'False'}","Shopping, Massage, Acupuncture, Skin Care, Health & Medical, Nail Salons, Cosmetics & Beauty Supply, Beauty & Spas",,386,385.0
391,o8n1x_PzgF2KxmSkq3odvA,Nino D'Arena,2.5,20,"{'GoodForKids': 'False', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '3', 'BikeParking': 'True', 'ByAppointmentOnly': 'False'}","Hair Salons, Nail Salons, Day Spas, Beauty & Spas","{'Monday': '9:0-21:0', 'Tuesday': '10:0-21:30', 'Wednesday': '10:0-21:30', 'Thursday': '10:0-21:30', 'Friday': '10:0-21:30', 'Saturday': '9:0-21:30', 'Sunday': '11:0-19:0'}",392,391.0
408,QzBeusvmkXmGmJ3jSuA_Fg,Book Beautician,3.5,19,"{'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'False', 'BikeParking': 'True'}","Hair Removal, Nail Salons, Eyelash Service, Beauty & Spas, Waxing","{'Monday': '0:0-0:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-18:0', 'Sunday': '11:0-18:0'}",409,408.0
410,JDrKupxgM4Vfohe7pEJ95w,I Barbieri,4.5,31,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'ByAppointmentOnly': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'""}","Beauty & Spas, Barbers","{'Monday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '8:0-17:0', 'Sunday': '8:0-17:0'}",411,410.0
412,ifG9ZBiXW_PbuTmz5JfYBQ,Beauty Line,2.0,98,"{'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'ByAppointmentOnly': 'False'}","Nail Salons, Beauty & Spas","{'Monday': '10:0-21:30', 'Tuesday': '10:0-21:30', 'Wednesday': '10:0-21:30', 'Thursday': '10:0-21:30', 'Friday': '10:0-21:30', 'Saturday': '10:0-21:30', 'Sunday': '11:0-19:30'}",413,412.0
417,kniu06ep57Y8kwW3mEwv9g,Gorgeous Lady Nail Salon,3.0,9,"{'ByAppointmentOnly': 'False', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WheelchairAccessible': 'False'}","Nail Salons, Beauty & Spas, Hair Removal, Eyelash Service, Waxing","{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-19:0', 'Sunday': '10:0-19:0'}",418,417.0
419,8BY83HLJd2lbroaSAOg9fA,Fabulous Manicure Bar,3.0,12,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '3', 'ByAppointmentOnly': 'True'}","Nail Salons, Beauty & Spas","{'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-18:0', 'Saturday': '9:0-17:0', 'Sunday': '11:0-17:0'}",420,419.0
430,77k6QRc4yDhLBkbFW6fD0g,BStreet Registered Massage Therapy,4.5,7,"{'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'True', 'WheelchairAccessible': 'False'}","Massage, Beauty & Spas, Physical Therapy, Health & Medical","{'Monday': '9:0-21:0', 'Tuesday': '9:0-21:0', 'Wednesday': '9:0-21:0', 'Thursday': '9:0-21:0', 'Friday': '9:0-21:0', 'Saturday': '9:0-18:0', 'Sunday': '11:0-17:0'}",431,430.0
447,y4sPaw0tUsAG4AxRKlF0bg,Innis Town Hall,4.5,3,{'GoodForKids': 'False'},"Arts & Entertainment, Venues & Event Spaces, Cinema, Event Planning & Services",,448,447.0
458,ksMkFDJj1ECI7MzIxd0uoA,True MediSpa,4.5,4,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly': 'True', 'RestaurantsPriceRange2': '2'}","Laser Hair Removal, Health & Medical, Hair Removal, Medical Spas, Beauty & Spas, Acne Treatment, Skin Care","{'Monday': '9:0-15:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-16:0'}",459,458.0
461,ty36KRrdPLqFvkAd_0weIw,Terminal Barber Shop,3.5,19,"{'BikeParking': 'True', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'GoodForKids': 'True'}","Beauty & Spas, Barbers","{'Monday': '7:30-19:0', 'Tuesday': '7:30-19:0', 'Wednesday': '7:30-19:0', 'Thursday': '7:30-19:0', 'Friday': '7:30-19:0', 'Saturday': '7:30-16:0'}",462,461.0
496,3TVquuouLqr3H5vs1iDvpg,M·A·C Royal Bank Plaza,5.0,5,{'ByAppointmentOnly': 'False'},"Makeup Artists, Shopping, Beauty & Spas, Cosmetics & Beauty Supply","{'Monday': '7:30-19:0', 'Tuesday': '7:30-19:0', 'Wednesday': '7:30-19:0', 'Thursday': '7:30-19:0', 'Friday': '7:30-19:0'}",497,496.0
502,fFu2f1TZ-dZE_TinBIt30w,Estee Lauder Spa At Holt Renfrew,3.0,9,"{'ByAppointmentOnly': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '4'}","Beauty & Spas, Skin Care",,503,502.0
504,jLMdXtc_pAguhdoroZ4zCw,Panorea Skincare,5.0,3,"{'ByAppointmentOnly': 'False', 'BikeParking': 'True', 'RestaurantsPriceRange2': '2'}","Hair Removal, Skin Care, Day Spas, Waxing, Beauty & Spas","{'Monday': '10:0-19:0', 'Tuesday': '10:0-19:0', 'Wednesday': '10:0-19:0', 'Thursday': '10:0-19:0', 'Friday': '10:0-19:0', 'Saturday': '10:0-18:0'}",505,504.0
